draw,budget_tCO2,overshoot_tCO2,responsibility_share,equality_share,capability_share
0,254435940.8468205,45564059.15372518,0.016497139117826413,0.007,0.016319009377124032
1,221141236.82218653,78858763.17835915,0.016497139117826413,0.007,0.0149386179500332
2,248040689.06401813,51959310.93652755,0.016497139117826413,0.007,0.01660536026624183
3,247851409.51781344,52148590.48273224,0.016497139117826413,0.007,0.01669227294784299
4,248103935.15368935,51896064.846856326,0.016497139117826413,0.007,0.01740457124173991
5,257674832.50170466,42325167.49884102,0.016497139117826413,0.007,0.015921262581519446
6,274854913.10016173,25145086.90038395,0.016497139117826413,0.007,0.017051177602624135
7,256719051.62563205,43280948.37491363,0.016497139117826413,0.007,0.017849418102578514
8,260252819.7111291,39747180.28941658,0.016497139117826413,0.007,0.016185378142406073
9,268234422.88436624,31765577.116179436,0.016497139117826413,0.007,0.01671462244496615
10,255332068.81546003,44667931.185085654,0.016497139117826413,0.007,0.016637556682089317
11,242612800.9325926,57387199.06795308,0.016497139117826413,0.007,0.016098343352418484
12,262765368.65855956,37234631.34198612,0.016497139117826413,0.007,0.016348605980750143
13,236375353.63089025,63624646.36965543,0.016497139117826413,0.007,0.015627993265258187
14,259671321.21374804,40328678.78679764,0.016497139117826413,0.007,0.017214649618425542
15,261377978.17060947,38622021.82993621,0.016497139117826413,0.007,0.01685587742331718
16,279336232.4887214,24666443.654596865,0.016497139117826413,0.007,0.01793017198898732
17,238650507.18319976,61349492.81734592,0.016497139117826413,0.007,0.01648052535538355
18,252576799.5997977,47423200.400747985,0.016497139117826413,0.007,0.01594604105500249
19,234341304.67172375,65658695.32882193,0.016497139117826413,0.007,0.014583534413663248
20,244255259.9442987,55744740.056246966,0.016497139117826413,0.007,0.016259355726851592
21,256665123.88461906,43334876.11592662,0.016497139117826413,0.007,0.018192345882934047
22,261738537.59539047,38261462.40515521,0.016497139117826413,0.007,0.01708436503380791
23,250505513.75929052,49494486.241255164,0.016497139117826413,0.007,0.01630331394788058
24,241112072.22281915,58887927.77772653,0.016497139117826413,0.007,0.01600072525997026
25,229528839.9493271,70471160.05121857,0.016497139117826413,0.007,0.01690193698616832
26,249634859.37668893,50365140.62385675,0.016497139117826413,0.007,0.016306040321122
27,268763475.6833465,31236524.31719917,0.016497139117826413,0.007,0.017309563238153358
28,268091137.16696635,31908862.83357933,0.016497139117826413,0.007,0.01637412597306389
29,254573107.63180882,45426892.36873686,0.016497139117826413,0.007,0.01622545892225532
30,251271355.67284036,48728644.32770532,0.016497139117826413,0.007,0.014798993771145312
31,261016714.95265412,38983285.04789156,0.016497139117826413,0.007,0.015814040151715156
32,245143323.05211145,54856676.94843423,0.016497139117826413,0.007,0.016906727391122884
33,274306127.54171365,25693872.458832026,0.016497139117826413,0.007,0.017984380775839446
34,258036031.95351687,41963968.04702881,0.016497139117826413,0.007,0.016099105364297248
35,251113193.46198064,48886806.53856504,0.016497139117826413,0.007,0.016330995506970303
36,269418462.6620109,30581537.338534772,0.016497139117826413,0.007,0.017100608530722646
37,271620433.8386561,28379566.161889553,0.016497139117826413,0.007,0.017024823896762346
38,255149836.26991618,44850163.730629504,0.016497139117826413,0.007,0.017068094384470822
39,255882327.70050728,44117672.3000384,0.016497139117826413,0.007,0.01661369228811023
40,236502330.19455066,63497669.80599502,0.016497139117826413,0.007,0.016554783537312667
41,259302006.85566288,40697993.1448828,0.016497139117826413,0.007,0.017757076518596825
42,261756282.92014208,38243717.080403596,0.016497139117826413,0.007,0.018136808421310824
43,257032329.19600654,42967670.804539144,0.016497139117826413,0.007,0.01667824544267191
44,241709155.23175275,58290844.76879293,0.016497139117826413,0.007,0.01607482372778987
45,259859631.64844552,40140368.35210016,0.016497139117826413,0.007,0.018000308622679918
46,237178340.0912892,62821659.90925649,0.016497139117826413,0.007,0.01725503580762544
47,227859160.58007613,72140839.42046955,0.016497139117826413,0.007,0.015759135955551708
48,241953519.73138514,58046480.26916054,0.016497139117826413,0.007,0.015758083807508143
49,263727762.86858144,36272237.13196424,0.016497139117826413,0.007,0.01777500006037238
50,237548092.90951306,62451907.091032624,0.016497139117826413,0.007,0.01612754011971257
51,235254528.28686738,64745471.7136783,0.016497139117826413,0.007,0.015246773930807722
52,245392589.22228143,54607410.778264254,0.016497139117826413,0.007,0.017902009787906074
53,249327099.94968855,50672900.05085713,0.016497139117826413,0.007,0.017278660778995078
54,262802104.88752356,37197895.11302212,0.016497139117826413,0.007,0.017918461322042292
55,257795761.37090054,42204238.62964514,0.016497139117826413,0.007,0.017179965618417312
56,255375835.98337385,44624164.01717183,0.016497139117826413,0.007,0.015409541287711933
57,257786675.31916258,42213324.6813831,0.016497139117826413,0.007,0.01648320799727778
58,246588589.05662668,53411410.943919,0.016497139117826413,0.007,0.0170514563148783
59,260044639.73043418,39955360.2701115,0.016497139117826413,0.007,0.015937418773741666
60,248706960.84732196,51293039.15322372,0.016497139117826413,0.007,0.015484593850113122
61,258914607.7401816,41085392.260364085,0.016497139117826413,0.007,0.016193938321244553
62,260525624.4823284,39474375.518217295,0.016497139117826413,0.007,0.017324186888680128
63,261566217.7621079,38433782.23843777,0.016497139117826413,0.007,0.01695296898462322
64,245154212.07549912,54845787.92504656,0.016497139117826413,0.007,0.016861770817619543
65,224660305.06181785,75339694.93872783,0.016497139117826413,0.007,0.01501827339305709
66,244592208.15012956,55407791.850416124,0.016497139117826413,0.007,0.015061898371458805
67,241718205.47117564,58281794.52937004,0.016497139117826413,0.007,0.01446363066707409
68,271196976.6285039,28803023.372041762,0.016497139117826413,0.007,0.016962753359535294
69,271167003.94139117,28832996.05915451,0.016497139117826413,0.007,0.018308967000429215
70,250765156.82743502,49234843.173110664,0.016497139117826413,0.007,0.016492363108138383
71,252746836.18557405,47253163.814971626,0.016497139117826413,0.007,0.016520330638387756
72,241460892.99221778,58539107.0083279,0.016497139117826413,0.007,0.01503317457776391
73,258224521.50464907,41775478.49589661,0.016497139117826413,0.007,0.01665969937846961
74,232336983.14207813,67663016.85846755,0.016497139117826413,0.007,0.01632323610303563
75,269768264.993849,30231735.0066967,0.016497139117826413,0.007,0.017949331103167217
76,255717996.42467472,44282003.57587096,0.016497139117826413,0.007,0.016200378742515047
77,264639974.88255912,35360025.11798656,0.016497139117826413,0.007,0.016878637218057286
78,247046298.74502307,52953701.25552261,0.016497139117826413,0.007,0.015909240155380113
79,256303157.79809275,43696842.20245293,0.016497139117826413,0.007,0.017959747897576737
80,239525273.9744342,60474726.02611148,0.016497139117826413,0.007,0.01769360564968874
81,264309736.25173283,35690263.748812854,0.016497139117826413,0.007,0.016652486174866074
82,235115616.7085696,64884383.291976094,0.016497139117826413,0.007,0.015750678728084003
83,251189050.51567283,48810949.48487285,0.016497139117826413,0.007,0.017093821410519166
84,249144725.58763042,50855274.41291526,0.016497139117826413,0.007,0.01682459929056887
85,275254532.8503575,24980420.549746573,0.016497139117826413,0.007,0.017867842013591685
86,251721882.92343414,48278117.07711154,0.016497139117826413,0.007,0.014784532428644154
87,242277111.35368893,57722888.646856755,0.016497139117826413,0.007,0.015658621008247487
88,262988324.77097875,37011675.22956693,0.016497139117826413,0.007,0.017023227563446926
89,258515898.10830194,41484101.89224374,0.016497139117826413,0.007,0.017659052450622766
90,265447303.2429986,34552696.75754708,0.016497139117826413,0.007,0.017150852238833347
91,261378226.66598397,38621773.334561706,0.016497139117826413,0.007,0.017208074935605427
92,256379743.4343568,43620256.56618887,0.016497139117826413,0.007,0.01659505299240353
93,252600718.82507035,47399281.17547533,0.016497139117826413,0.007,0.017426163569987593
94,256059079.19360912,43940920.80693656,0.016497139117826413,0.007,0.018016574240589268
95,262744686.57804796,37255313.42249772,0.016497139117826413,0.007,0.017363093729569828
96,250272230.6668569,49727769.333688766,0.016497139117826413,0.007,0.0169647337732946
97,255048649.81981513,44951350.18073055,0.016497139117826413,0.007,0.015093498373670838
98,239486128.36511642,60513871.63542926,0.016497139117826413,0.007,0.0156265863873345
99,225069549.27493912,74930450.72560656,0.016497139117826413,0.007,0.015698064322323266
100,247040951.99039823,52959048.01014745,0.016497139117826413,0.007,0.01518967706284246
101,250926857.87696043,49073142.123585254,0.016497139117826413,0.007,0.015974567761196705
102,276715067.2194254,24868071.752666175,0.016497139117826413,0.007,0.01773693157702891
103,244250222.2377722,55749777.762773484,0.016497139117826413,0.007,0.01683686533879876
104,244602814.8326018,55397185.167943895,0.016497139117826413,0.007,0.015825244311450888
105,263618525.04935533,36381474.95119035,0.016497139117826413,0.007,0.017268059295861508
106,283188571.05411106,24370109.91865003,0.016497139117826413,0.007,0.01804090459571538
107,241840921.89381018,58159078.1067355,0.016497139117826413,0.007,0.016019619409303347
108,276822266.6405973,24859825.643538892,0.016497139117826413,0.007,0.018624913331774153
109,236848526.1148156,63151473.88573009,0.016497139117826413,0.007,0.016512839815268535
110,266996982.79145277,33003017.209092915,0.016497139117826413,0.007,0.017514022897776753
111,256689270.13906813,43310729.861477554,0.016497139117826413,0.007,0.018234607928211088
