year,p05,p25,p50,p75,p95
2024,185000000.0,185000000.0,185000000.0,185000000.0,185000000.0
2025,178911289.51077694,179492278.50827083,180410772.13287628,181225622.28359276,182865068.72250342
2026,173022970.34839016,174148529.9690962,175935387.5762716,177528249.5790401,180754774.9129114
2027,167328447.24377754,168963872.6669827,171571022.2604854,173906310.82686794,178668834.25067854
2028,161821341.99103406,163933570.22227392,167314922.1714899,170358267.02042335,176606965.69636667
2029,156495486.30344012,159053027.26428917,163164401.61308393,166882610.5519317,174568891.45378026
2030,151344914.90461236,154317785.2332793,159116841.51215792,163477864.57189533,172554336.93253884
2031,146363858.84703767,149723518.30736443,155169687.76599854,160142582.36156192,170563030.7110813
2032,141546739.05050758,145266029.45073265,151320449.63059217,156875346.7181958,168594704.50009733
2033,136888160.05321524,140941246.57948953,147566698.14890814,153674769.35289085,166649093.1063806
2034,132382903.96851587,136745218.8416564,143906064.6181717,150539490.3006694,164725934.39709923
2035,128025924.64058241,132674113.00791785,140336239.09515858,147468177.34261632,162824969.26447845
2036,20710349.705782954,64984675.815649144,93274417.98334162,99814883.88364173,105202022.15547949
2037,2859065.7823892985,28260102.642961558,64945707.875838846,73548242.95850402,76494830.80276339
2038,394680.39509692875,12258007.649659485,45494094.58388403,53248612.77476859,59773362.32058209
2039,54483.74617211635,5316992.419980592,31075979.722146764,38438485.336937554,46428015.821368515
2040,7521.221311702776,2306280.857572956,20890486.166865982,27946072.754315358,36240660.29418457
2041,1038.2687320798964,1000364.6749746655,14043399.961051874,20167775.171947896,28310141.392753806
2042,143.32804687604522,433914.83724126907,9512795.404623015,14560236.969773658,22009213.243923016
2043,19.785753341290874,188213.4492450231,6544030.579198424,10524601.833959125,16803197.72270151
2044,2.7313288925245476,81638.83655662966,4501761.512411205,7613296.165818385,12828602.801444115
2045,0.3770469284336367,35411.50867662575,3096860.834167012,5509802.448329323,9794150.680058861
2046,0.05204953044082696,15360.03156394943,2130407.026704054,3988089.120984227,7477461.837288668
2047,0.0071851894727235745,6662.539340026386,1465559.591641598,2883600.9296003534,5720906.152250471
2048,0.0009918811439001381,2889.930940115606,1008194.6265476294,2086278.4135510484,4416774.600228452
2049,0.00013692446218859585,1253.531185705786,693561.9751053565,1509924.5114138778,3410297.974348163
2050,1.890176910141132e-05,543.7303130328008,477118.4061611926,1092793.7591485989,2632076.88608152
