p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
28453712.955908887,28453713.58871848,31056288.58474943,35372534.16589743,37910016.949899055,2025
22643444.084237017,22643444.621468835,22650913.19724194,25032657.289266888,28746305.104858637,2026
15623969.522026215,18487703.419468503,19143908.296074007,19143908.81110066,21799877.746433046,2027
10603882.125350403,13745349.856477525,16631698.06783628,16631698.604391783,16908096.339272823,2028
7197334.08961098,9964271.157147205,13890076.8023029,14670580.68456678,14670581.00607892,2029
4885530.532583925,7226712.671258433,11546002.009311331,13061742.6115003,13061742.899479907,2030
3316539.161566528,5243791.975843317,9685969.907018118,11697689.5204467,11697689.779511593,2031
2251603.327462876,3806828.4971065186,8192659.933840709,10513676.534116905,10513676.767774975,2032
1528734.2933745855,2765018.158557105,6980061.22601454,9467671.19121329,9467671.402217247,2033
1038019.5272042586,2009337.7960170922,5984025.897821144,8530833.769162335,8530833.95972877,2034
704875.5367809086,1460937.0666203238,5156182.144237144,7682515.445900654,7682515.617852245,2035
6907422.915181391,6907423.090834999,10232927.181935884,21964381.287713435,29810608.178849805,2036
6193913.238932005,6193913.396669398,8084034.180714164,16157926.968304673,21929943.007502098,2037
5532916.720921585,5532916.862004573,6435163.360385548,11886453.822357886,16132592.714210289,2038
4917230.67628971,4917230.801814312,5157469.772251692,8744177.687409777,11867816.87456084,2039
4005980.0660558264,4341039.665633107,4341039.79481287,6505596.742341671,8730467.56111611,2040
2946968.207113691,3799580.6422119765,3799580.755381096,4937323.969243918,6422500.839146223,2041
2167914.335702003,3288903.3999219956,3288903.4979607295,3755546.9733008677,4724662.996578465,2042
1594809.3893911976,2805695.5347310454,2805695.6184280086,2859298.851808565,3475661.738365028,2043
1173209.1746451443,2174212.0158565375,2347152.1484402986,2347152.2150019864,2556843.6369499643,2044
863062.2421886888,1634508.721372604,1901623.6300728144,1910877.099589793,1910877.142801164,2045
634905.0535826802,1202413.6807244886,1443457.4006896298,1494807.3517174476,1494807.385539575,2046
467062.98498538235,884546.3108812784,1060623.4907893427,1097153.9188271817,1097153.9436650968,2047
343591.2672492962,643988.9005336453,716355.3596460314,716355.3800061618,748808.6219950136,2048
252760.25445191734,351040.77335388755,351040.7838612062,429760.32712288253,550855.2628432291,2049
0.0,0.0,92153.70033137435,298574.2207514598,405232.4074389516,2050
