korea_total,industry,petrochem,scenario
4902408278.075531,1813891062.8879464,181389106.28879464,1p5C
13299663270.006964,4920875409.902576,492087540.9902577,2p0C
5796700379.374877,2144779140.3687046,214477914.03687048,1p5C
6053139788.998273,2239661721.929361,223966172.1929361,1p5C
5648363897.481234,2089894642.0680563,208989464.20680565,1p5C
5323698055.202073,1969768280.424767,196976828.0424767,1p5C
5613733790.420828,2077081502.4557064,207708150.24557066,1p5C
13483139716.238043,4988761695.008076,498876169.5008076,2p0C
12877139093.178352,4764541464.47599,476454146.44759905,2p0C
5729895548.083703,2120061352.79097,212006135.27909702,1p5C
12894832327.56861,4771087961.200385,477108796.1200385,2p0C
12856705868.515106,4756981171.350589,475698117.1350589,2p0C
6170671389.789515,2283148414.2221203,228314841.42221203,1p5C
12293159967.443533,4548469187.954107,454846918.79541075,2p0C
6318544069.225965,2337861305.613607,233786130.56136072,1p5C
11857672402.265457,4387338788.838219,438733878.8838219,2p0C
6214490928.640768,2299361643.597084,229936164.35970843,1p5C
13079013780.427946,4839235098.75834,483923509.875834,2p0C
12018455548.839083,4446828553.07046,444682855.30704606,2p0C
6035334080.97347,2233073609.9601836,223307360.99601838,1p5C
5079231454.397365,1879315638.127025,187931563.8127025,1p5C
6409681737.510508,2371582242.8788877,237158224.28788877,1p5C
13484828307.229311,4989386473.674845,498938647.3674845,2p0C
12911829242.795656,4777376819.834393,477737681.98343927,2p0C
12610885381.178562,4666027591.036068,466602759.1036068,2p0C
5928273926.2885685,2193461352.7267704,219346135.27267706,1p5C
13100328085.446302,4847121391.615131,484712139.16151315,2p0C
4931188898.912403,1824539892.597589,182453989.25975892,1p5C
5148482252.805348,1904938433.537979,190493843.3537979,1p5C
6183525520.100295,2287904442.437109,228790444.2437109,1p5C
5533761827.049789,2047491876.0084221,204749187.60084224,1p5C
12532443468.88301,4637004083.486714,463700408.34867144,2p0C
12750645389.16546,4717738793.99122,471773879.39912206,2p0C
13115970204.55407,4852908975.685005,485290897.5685005,2p0C
6932717964.658818,2565105646.923763,256510564.6923763,1p5C
6264191479.0668,2317750847.254716,231775084.72547162,1p5C
11724293540.300379,4337988609.91114,433798860.9911141,2p0C
4897007724.101517,1811892857.917561,181189285.79175612,1p5C
5781874523.348655,2139293573.6390023,213929357.36390024,1p5C
13345950114.432869,4938001542.340161,493800154.2340162,2p0C
5873899081.869392,2173342660.291675,217334266.02916753,1p5C
13832297772.832539,5117950175.948039,511795017.5948039,2p0C
5686266415.066567,2103918573.57463,210391857.357463,1p5C
13185460934.320507,4878620545.698587,487862054.5698588,2p0C
13381265112.830217,4951068091.74718,495106809.174718,2p0C
13365298484.478292,4945160439.2569685,494516043.92569685,2p0C
4958098205.045898,1834496335.8669825,183449633.58669826,1p5C
6225116896.801431,2303293251.8165293,230329325.18165293,1p5C
5267493670.852583,1948972658.2154558,194897265.8215456,1p5C
5382940758.831161,1991688080.7675295,199168808.07675296,1p5C
12654446916.322884,4682145359.039467,468214535.9039467,2p0C
12486552162.369696,4620024300.076787,462002430.00767875,2p0C
5222141583.429448,1932192385.8688958,193219238.5868896,1p5C
5316745161.695819,1967195709.827453,196719570.9827453,1p5C
13320724822.361864,4928668184.27389,492866818.42738897,2p0C
6186322733.142833,2288939411.262848,228893941.1262848,1p5C
13432854363.29867,4970156114.420507,497015611.44205076,2p0C
5915045001.988649,2188566650.7358003,218856665.07358003,1p5C
6196797634.432833,2292815124.740148,229281512.47401482,1p5C
12109196740.00604,4480402793.802235,448040279.3802235,2p0C
5872791854.827925,2172932986.286332,217293298.62863323,1p5C
12650594622.368738,4680720010.276433,468072001.0276433,2p0C
4874397220.358847,1803526971.5327733,180352697.15327734,1p5C
13611198994.050068,5036143627.798525,503614362.7798525,2p0C
5556844859.056503,2056032597.8509061,205603259.78509063,1p5C
5655519683.68353,2092542282.9629061,209254228.29629064,1p5C
5721405703.664292,2116920110.3557882,211692011.03557885,1p5C
5671707701.9325075,2098531849.7150278,209853184.97150278,1p5C
11818283175.905973,4372764775.08521,437276477.508521,2p0C
6755940232.464428,2499697886.0118384,249969788.60118386,1p5C
6390576452.605718,2364513287.4641156,236451328.74641156,1p5C
12758928301.447453,4720803471.535558,472080347.1535558,2p0C
12590066223.346697,4658324502.638278,465832450.2638278,2p0C
12801732901.627401,4736641173.6021385,473664117.3602139,2p0C
13163405699.132862,4870460108.679159,487046010.8679159,2p0C
7229127746.532047,2674777266.2168574,267477726.62168574,1p5C
5190500061.996881,1920485022.9388459,192048502.2938846,1p5C
5945605486.516977,2199874030.0112815,219987403.00112817,1p5C
6180951447.948498,2286952035.7409444,228695203.57409444,1p5C
12916981306.863363,4779283083.539444,477928308.3539444,2p0C
13290910761.163498,4917636981.630494,491763698.16304946,2p0C
4960968812.245169,1835558460.5307124,183555846.05307126,1p5C
5586621254.786036,2067049864.270833,206704986.4270833,1p5C
6819230019.645045,2523115107.2686667,252311510.7268667,1p5C
7730183010.682144,2860167713.9523935,286016771.39523935,1p5C
11901534464.37346,4403567751.81818,440356775.181818,2p0C
5475355963.003391,2025881706.3112547,202588170.63112548,1p5C
13129879270.745302,4858055330.175762,485805533.0175762,2p0C
13304026541.059027,4922489820.19184,492248982.01918405,2p0C
5750358970.573544,2127632819.112211,212763281.91122112,1p5C
11565806884.463484,4279348547.251489,427934854.7251489,2p0C
12619942460.190943,4669378710.270649,466937871.0270649,2p0C
14493513160.159388,5362599869.258973,536259986.92589736,2p0C
6097132792.541868,2255939133.2404914,225593913.32404914,1p5C
12188810875.735655,4509860024.022192,450986002.40221924,2p0C
13498425917.975006,4994417589.650752,499441758.96507525,2p0C
13566705870.08112,5019681171.930015,501968117.1930015,2p0C
4776099850.638647,1767156944.7362995,176715694.47362995,1p5C
6407027087.565169,2370600022.3991127,237060002.2399113,1p5C
6725048732.436423,2488268031.001477,248826803.1001477,1p5C
