p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
170697322.40775144,173447512.23471993,176689716.91848123,185000000.0,185000000.0,2025
157500416.16638553,162758404.02708924,169024995.89603114,185000000.0,185000000.0,2026
145373398.98629537,152661423.730531,161351064.57487693,185000000.0,185000000.0,2027
134149590.25970997,143995555.68163222,153620328.86194634,185000000.0,185000000.0,2028
123792335.43990502,135221856.297728,146273927.7141803,185000000.0,185000000.0,2029
114234730.70496863,126611982.93578756,139144721.09752053,185000000.0,185000000.0,2030
106993020.53129242,118376338.44229254,132687376.89722739,185000000.0,185000000.0,2031
98942322.42346177,110830456.68267377,126534683.72043407,185000000.0,185000000.0,2032
91497420.97923556,103954947.34744191,120667309.295111,185000000.0,185000000.0,2033
84612729.74264891,97505974.80807048,115072021.64313495,185000000.0,185000000.0,2034
78246092.78427069,91457077.59094372,109736202.47579019,185000000.0,185000000.0,2035
72358526.53337266,85783435.86073235,103481593.29609075,185000000.0,185000000.0,2036
66913981.03953747,80461769.5737159,98591209.6088725,185000000.0,185000000.0,2037
61852345.747028075,75470242.94972531,93931964.90002039,185000000.0,185000000.0,2038
55801123.457495,70385788.98709816,89492933.35404533,185000000.0,185000000.0,2039
51056777.22615085,65703011.9076028,85263705.67282695,185000000.0,185000000.0,2040
47109516.002732694,60669098.03519104,81801554.07587174,185000000.0,185000000.0,2041
42789065.42850729,56817904.49269987,78544249.8243998,185000000.0,185000000.0,2042
37995942.323175505,53211183.30297638,75057466.50596943,185000000.0,185000000.0,2043
33679868.69008627,49323837.14935139,71577200.88679329,185000000.0,185000000.0,2044
30618749.136583883,46169072.69557834,68258319.19843096,185000000.0,185000000.0,2045
24387065.303176124,43216088.11468917,65093337.37515183,185000000.0,185000000.0,2046
18263961.42787317,40451977.46874214,62075118.44297966,185000000.0,185000000.0,2047
12646063.56798754,37864660.29137469,59196856.42137854,185000000.0,185000000.0,2048
6295026.910887852,35442828.79004269,56452060.971638694,142307692.30769208,144206063.38807952,2049
0.0,0.0,0.0,0.0,0.0,2050
