p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
170953678.02030525,173747988.02699834,176630833.08729637,185000000.0,185000000.0,2025
157973874.72924152,163180347.0207982,168514201.5632433,185000000.0,185000000.0,2026
145979607.91368687,153255451.82180777,160592426.65508443,185000000.0,185000000.0,2027
134896044.6721376,143934209.03430519,152926716.27037883,185000000.0,185000000.0,2028
124654034.45497997,135179903.03611022,145479611.25386623,185000000.0,185000000.0,2029
115189677.5655846,126775302.4768916,138280491.4259069,185000000.0,185000000.0,2030
106443926.42923103,118847094.5947128,131391876.2958028,185000000.0,185000000.0,2031
98362217.14139286,111375737.12372386,124765474.27352169,185000000.0,185000000.0,2032
90894128.99590048,104263062.70715213,118770911.59133458,185000000.0,185000000.0,2033
83993069.86813417,97000348.84823093,113064386.71076858,185000000.0,185000000.0,2034
77615985.48977108,90655953.54909888,107632058.53957441,185000000.0,185000000.0,2035
71723090.80072635,84964025.73603705,102460751.13631314,185000000.0,185000000.0,2036
66277621.701717675,79629476.11696097,97537921.74358565,185000000.0,185000000.0,2037
61245605.65821038,74629865.75110202,92851630.35766941,185000000.0,185000000.0,2038
55771088.47383433,69944164.60464942,88390510.76071355,185000000.0,185000000.0,2039
50492256.13081149,65100442.51478197,84143742.94519308,185000000.0,185000000.0,2040
46536772.95620186,60573767.61397208,80101026.86370313,185000000.0,185000000.0,2041
42470431.30996579,56723392.08960661,76252557.44039008,185000000.0,185000000.0,2042
37897000.79570501,53117771.09009664,72589000.78337862,185000000.0,185000000.0,2043
34427776.006700344,49741346.12132514,69101471.54046924,185000000.0,185000000.0,2044
30808722.48677407,46579547.72865484,65781511.34315469,185000000.0,185000000.0,2045
25520104.115806416,43618732.62323366,62621068.28664577,166767403.00953025,180727184.7766926,2046
19054017.49747871,40846124.805295646,59612477.39611132,125075552.25714773,156452887.38527972,2047
12645992.508651996,38249760.43035584,56748442.03173046,83383701.50476506,107221570.44761504,2048
6294990.341401607,35606578.81276745,40025219.15805383,44319473.46844417,80152652.21770483,2049
10000.0,10000.0,22181994.186797235,38784064.83060706,77607391.84398217,2050
