year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,38808049.434223294,30121294.017782386,23378973.345297463,18145847.066113856,14084098.599352047,10931527.893602584,8484625.4977304,6585435.314935856,5111357.984958211,3967236.6671254053,3079214.333901319,2389966.041772227,1854998.4059042318,1439777.3967347366,1117499.04773518,867359.1657440864,673210.3476284638,522519.6090079211,405559.3363346087,314779.3354596859,244319.4402278288,189631.21828206693,147184.3538672489,114238.75361648813,88667.66395305455,68820.38171814482
50000000.0,46060343.01774589,42431103.97824826,39087824.07719514,36007971.6962583,33170790.554058854,30557159.82179512,28149465.26079933,25931480.513570774,23888257.74826127,22006026.9196248,20272102.967513368,18674800.327494603,17203354.177446295,15847847.889378961,14599146.197557107,13448833.632514019,12389157.806043863,11412977.16494729,10513712.861423464,9685304.41574503,8922168.8724101,8219163.174509286,7571549.502734459,6974963.34543585,6425384.084539595,5919107.899093177
50000000.0,40339851.69729555,32546072.69919597,26258074.920299303,21184936.962826986,17091944.30593991,13789729.97040102,11125513.239034576,8976031.082379062,7241835.253869733,5842691.203147033,4713865.932960892,3803133.053131523,3068356.4669681694,2475540.896638673,1997259.0528198823,1611382.6798367007,1300058.7666440639,1048883.55688381,846236.1426484948,682740.8099066345,550833.2603865018,444410.6406785853,358549.18675348465,289276.42039642995,233387.3579663301,188296.22816770774
50000000.0,40745400.56566993,33203753.345137917,27058004.606626946,22049784.724095143,17968546.21940093,14642712.2658449,11932463.532793976,9723860.127578791,7924051.518854884,6457373.064774949,5262165.042524461,4288180.450006494,3494472.602667787,2847673.7192291617,2320592.1274064663,1891069.1156143325,1541047.3722614634,1255811.8494693278,1023371.1368348508,833953.3379536202,679595.2561599558,553807.6186953291,451302.2652012195,367769.8314363579,299698.5819568662,244226.7754159156
50000000.0,40137769.30546013,32220810.496366743,25865429.170762334,20763612.58085555,16668101.834366592,13380408.52375446,10741195.010785377,8622552.148157254,6921800.178940711,5556512.3752163,4460520.237187322,3580706.6452512206,2874431.5455524307,2307465.4051944134,1852330.2822804688,1486968.110953826,1193671.66004081,958226.3543436732,769221.3670611692,617496.5955186376,495698.7179566819,397924.8157271529,319436.28909148386,256429.20158692502,205849.92272958648,165247.13420133872
50000000.0,39579750.259524405,31331132.61212644,24801568.0827201,19632797.41517306,15541224.37176772,12302355.587236006,9738483.234933317,7708934.68690452,6102354.193493318,4830593.099472539,3823873.3696500994,3026959.05989594,2396125.6727297218,1896761.1143415456,1501466.6241523114,1188553.4801391938,940852.998279958,744774.5340569097,589559.8011525223,466692.5938534342,369431.5262537717,292440.1509423841,231494.16280314367,183249.62300572227,145059.48627436973,114828.36479028927
50000000.0,40109161.212985836,32174896.26418574,25810162.025426432,20704478.99222227,16608785.714598428,13323289.275575293,10687719.148825893,8573509.006787468,6877525.098284491,5517035.258268977,4425673.131832748,3550200.742413191,2847911.478318253,2284546.812083593,1832625.1276894736,1470101.1337893168,1179290.467490979,946007.029550662,758870.969137307,608753.5608196608,488331.8941978993,391731.6533965256,314240.56076621474,252078.5062286235,202213.14889305024,162211.99576673715
50000000.0,46810081.42700016,43810482.429030634,40979765.994285226,38299924.71596458,35755686.101748705,33333985.330794014,31023559.24399306,28814629.58171046,26698652.915422637,24668121.10119716,22716400.48079203,20837601.138155,19026469.712255534,17278300.84986338,15588863.5388574,13954339.418547312,12371270.803689232,10836516.642664906,9347214.999393815,7900750.932665163,6494728.867111393,5126948.722569519,3795385.204538415,2498169.76633207,1233574.8397068137,10000.0
50000000.0,46285321.1900794,42892984.943905085,39771488.01962156,36880762.82668098,34189023.965291455,31670631.99794071,29304604.443083327,27073552.065239258,24962902.53536456,22960323.0553611,21055283.728945244,19238722.414255977,17502784.007242516,15840615.160720645,14246200.869582625,12714233.07635327,11240004.05108686,9819319.143287186,8448424.829844136,7123948.94973028,5842850.729465543,4602378.735543139,3400035.2912473055,2233546.2007510187,1100834.8580389959,10000.0
50000000.0,40287825.471118025,32462177.623825334,26156610.930422157,21075859.52161572,16982011.001213107,13683365.9073096,11025461.150622714,8883837.091497602,7158209.565122004,5767773.95290646,4647421.407431119,3744690.051066453,3017308.384415946,2431215.871677815,1958968.0144153573,1578451.2293653714,1271847.3528668755,1024799.2835640827,825738.6935831311,665344.3274365242,536105.5228392218,431970.51476498076,348063.0541504111,280454.0715711215,225977.6937624357,182082.99773333527
50000000.0,45896541.192937255,42129849.86949972,38672287.79975512,35498485.0005317,32585153.582275372,29910916.873341765,27456152.567917045,25202848.74665949,23134471.713608485,21235844.67960947,19493036.402090266,17893258.964079224,16424773.942415116,15076806.276654756,13839465.206688395,12703671.698939918,11661091.828638943,10704075.62935502,9825600.96110017,9019221.985129956,8279021.867375244,7599569.363464325,6975878.966776486,6403374.327112029,5877854.671561885,5395463.981188772
50000000.0,46300077.84970542,42918362.24260584,39804427.59620393,36918959.57169417,34230712.78967017,31714443.400093574,29349464.12476308,27118609.588817306,25007479.622566853,23003875.470715314,21097372.74682419,19278993.167229373,17540948.85421259,15876440.769496802,14279498.083733328,12744848.89377906,11267815.221506521,9844227.019109003,8470351.196247838,7142832.6261721905,5858644.783621003,4615048.186957743,3409555.209173998,2239900.121252275,1104013.4611692177,10000.0
50000000.0,40897097.11011224,33451451.040679015,27361344.833696295,22379991.534538902,18305533.74223055,14972863.82216878,12246933.315034457,10017280.42172066,8193553.803726718,6701851.311758822,5481725.278290671,4483733.020744214,3667433.295303859,2999747.5124580176,2453619.3064562627,2006918.1409477605,1641542.52204773,1342686.478691291,1098239.5861494478,898296.2200984689,734754.1549402766,600986.2405330188,491571.85281840275,402077.2360262406,328875.8353506135,269001.33951006643
50000000.0,45858672.49610682,42169709.94866293,38843947.05457906,35816232.36585798,33037511.049703572,30469923.468407784,28083638.104659542,25854730.829188466,23763721.26890444,21794536.14781452,19933758.33664044,18170072.03591744,16493845.660833567,14896813.348127002,13371828.362316057,11912669.762390299,10513889.094556984,9170687.561184581,7878816.672994005,6634497.194801431,5434352.485769106,4275353.271490723,3154771.573112519,2070142.0298840257,1019229.2355117482,10000.0
