p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
38841443.05208487,40264335.99663245,41403286.116328254,45995675.81109731,46740252.54965306,2025
30173155.141192008,32424339.390927594,34285187.192732,42332145.63614075,43686602.21811505,2026
23439379.56534614,26110896.879867166,28391291.167919263,38951162.47675689,40814529.111602806,2027
18353981.95854441,21026766.91526995,23510976.488323774,35840211.810383216,38103644.73856979,2028
14286327.102315934,16974114.29555694,19469871.931178592,33007930.003669277,35536812.97643019,2029
11120158.166140785,13675731.941826625,16123615.226267396,30392224.8925557,33099493.074868094,2030
8655684.635791907,11018286.182396121,13853793.42459017,27979265.40770804,30779240.616155807,2031
6737394.390225302,8877231.146782136,11564242.18954796,25750515.55891961,28565322.942502495,2032
5244240.518121995,7152222.548444891,9630325.201823018,23689551.60931936,26448418.919722512,2033
4082002.9832270215,5762414.863850221,8019844.027479536,21781723.051288377,24420381.772218566,2034
3177343.1359627885,4642672.358109984,6678702.310160817,20013435.1450094,22474049.728466254,2035
2473175.8932409743,3740516.3795396807,5561852.213441547,18415003.254370436,20752539.59773725,2036
1925067.5576743449,3013665.8521832186,4631780.80138319,16840835.02164059,18948025.004477933,2037
1498431.9685649963,2428055.696753769,3857249.631772527,15480465.591226324,17203905.549408585,2038
1166348.054288929,1956240.3094971275,3212245.1993267084,14188353.409555705,15519054.02170366,2039
907861.0680130863,1576107.2749783122,2675104.953952592,12721887.030709717,13889574.398036335,2040
706660.3105188251,1269841.0285095205,2227789.520994696,11299400.084047299,12568676.19266556,2041
550049.9013083493,1023087.898311792,1855276.6647475811,10199128.15362067,11512554.034651026,2042
428147.65131693374,824283.395551804,1545056.628586371,9130981.392764216,10610563.42262077,2043
333261.48436406866,664110.2244525701,1286711.892473617,7866977.464079503,9779242.374964816,2044
259404.0582500842,535061.6111218851,1071567.2258967778,6639183.915315498,9013054.040231915,2045
201914.95713698963,431089.4857033375,892398.2768721686,5931927.212248851,8306895.370809248,2046
157166.6148497105,347321.02926524583,743188.9049494057,5384127.553326535,7656063.135050754,2047
122335.41234056494,279830.3008841336,618929.1043043409,4886916.085043991,7056222.59230397,2048
95223.50518733436,225454.24181499868,458202.6655863923,4435621.074794546,6503378.622201187,2049
10000.0,74553.04802574942,211417.7342837822,4026002.217891322,5993849.115927094,2050
