year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,38809760.1904687,30123949.720833782,23382065.293105908,18149046.93566643,14087203.1851755,10934419.547421359,8487244.009147923,6587758.093460461,5113386.236000396,3968985.871608375,3080707.7975295885,2391230.6167806056,1856061.7359472374,1440666.2174163463,1118238.208248761,867971.1339590761,673715.0312240185,522934.37597036595,405899.15453524597,315056.9769805379,244545.71445897385,189815.21067519218,147333.65613615004,114359.67725257912,88765.43299263988,0.0
50000000.0,46092997.057623394,42491287.555081576,39171015.845020086,36110190.361772604,33288537.961908106,30687369.64661629,28289456.776553724,26078916.9592691,24041108.853391904,22162535.192827936,20430753.38864986,18834293.116561342,17362580.344081566,16005867.294250032,14755167.881971542,13602198.195369067,12539321.627927134,11559498.298012773,10656238.42075811,9823559.323466737,9055945.819838822,8348313.680556553,7695975.958280206,7094611.944010998,6540238.549205573,0.0
50000000.0,40343654.561113246,32552209.266928673,26265501.7173208,21192926.56315834,17100002.16806202,13797531.609251637,11132856.98079378,8982802.726228448,7247981.803551735,5848201.482954515,4718756.408642145,3807437.5701659606,3072118.921875597,2478810.0910961754,2000085.1607557146,1613814.8963667443,1302143.8140919744,1050664.8044923414,847753.1586391719,684029.2117046278,551924.7645344422,445333.2408820262,359327.40869451006,289931.6170142255,233938.0200633378,0.0
50000000.0,40750334.45249705,33211795.15980736,27067835.210599456,22060466.754740074,17979427.968677007,14653354.059763351,11942581.57572424,9733283.868739842,7932691.459444858,6465196.6016169,5269178.476340719,4294415.704015662,3499977.524333876,2852505.093856561,2324810.7320421273,1894736.297389424,1544222.756358099,1258551.8758149883,1025728.1973055657,835975.3419511742,681325.4955710185,555284.8363106458,452560.8559211781,368840.12477792666,300607.168884025,0.0
50000000.0,40139333.92424531,32223322.55764141,25868454.0857967,20766850.333076037,16671350.801483281,13383538.335779442,10744126.286955787,8625241.455127604,6924228.93889221,5558678.750922345,4462433.251217576,3582381.9677055576,2875888.5209185686,2308724.993401087,1853413.668987546,1487895.8031850352,1194462.929770546,958898.9279638468,769791.2853828341,617978.1891191119,496104.65781904897,398266.2104314453,319722.8082250306,256669.2112508389,206050.62356940183,0.0
50000000.0,39581821.44401063,31334411.776510794,24805461.839819085,19636907.227598768,15545291.111908324,12306218.741734417,9742051.057725376,7712162.509306414,6105228.78781119,4833121.515079518,3826075.056541673,3028860.394388308,2397756.226190272,1898151.1762265621,1502645.6186227703,1189549.0113990281,941690.331361914,745476.3710303698,590146.2521770621,467181.27159049077,369837.713481613,292777.0067658073,231772.9440943215,183479.9057738819,145249.37737811374,0.0
50000000.0,40110781.59295792,32177495.99995944,25813290.285253003,20707824.976548117,16612140.89799041,13326519.107014745,10690741.94591698,8576280.305187,6880026.124026844,5519264.504293713,4427640.261709804,3551922.2301925807,2849407.536208533,2285839.2670837757,1833735.9919720863,1471051.6774627683,1180100.6509332699,946695.1893458371,759453.6794990961,609245.6133671304,488746.35468473315,392079.96574227326,314532.677457255,252323.03058672478,202417.47941474718,0.0
50000000.0,46810163.92988652,43810629.12836729,40979962.068934165,38300158.056832366,35755946.73664723,33334264.990141425,31023851.02839534,28814927.704402115,26698952.500493634,24668418.02392885,22716691.240151342,20837882.75411186,19026739.642450325,17278556.921495426,15589103.89264706,13954562.462349718,12371475.173879387,10836701.171822371,9347378.689126095,7900892.930647541,6494848.447605528,5127045.26982718,3795458.198609547,2498218.7708858075,1233599.49154504,0.0
50000000.0,46285421.677840695,42893157.672287874,39771712.128540084,36881022.61151409,34189307.41262152,31670929.795214687,29304909.291201364,27073858.19057372,24963205.336486697,22960618.842830244,21055569.53068401,19238995.82797482,17503043.087157257,15840858.3296261,14246426.849919286,12714440.83566991,11240192.758532863,9819488.134639397,8448573.579197837,7124077.046437683,5842957.859238174,4602464.664882378,3400099.854552735,2233589.2895967104,1100856.4122151344,0.0
50000000.0,40291176.48014541,32467578.04308446,26163138.336336207,21082872.479675606,16989074.715740215,13690196.152125306,11031882.184261765,8889750.239885258,7163569.915592641,5772573.1939400695,4651675.306031919,3748429.41367333,3020572.6205936032,2434048.4905486433,1961413.5458785389,1580553.1865508002,1273646.94751149,1026334.678711679,827044.6333533118,666452.0255879093,537042.7235702566,432761.66305494297,348729.5307997589,281014.46138582774,226448.0651433878,0.0
50000000.0,45927125.45502716,42186017.051236086,38749649.951200694,35593200.69294363,32693867.871415637,30030707.42681176,27584481.349887997,25337518.71136326,23273588.011517573,21377779.927871678,19636399.613946483,18036867.77109534,16567629.778776638,15218072.22684637,13978446.246920759,12839797.088973667,11793899.434447724,10833197.978597092,9950752.852843506,9140189.492890263,8395652.590453845,7711763.795971951,7083582.8667428065,6506571.979839555,5976562.952005116,0.0
