p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
38843177.48510801,40266680.4568506,41409442.39036383,46016617.4843643,46740337.47363946,2025
30175849.918282125,32428115.77651018,34295386.241007835,42389317.83079,43686752.548324496,2026
23442519.708442803,26115459.046005487,28403963.878120743,39032407.66662474,40814729.236265615,2027
18357355.597977303,21031665.982275147,23524973.448338725,35939921.52146429,38103882.041787565,2028
14289609.643309467,16980823.0682589,19484365.525370788,33092449.1441327,35537077.17248228,2029
11123224.313118368,13682218.457109077,16138022.9901254,30476026.070336133,33099775.71302269,2030
8658469.098507436,11024383.591959968,13861529.72615049,28081706.802142344,30779534.706744187,2031
6739871.442007036,8882845.819649236,11579239.704730734,25856122.791170288,28565622.670739613,2032
5246409.667309422,7157311.919714239,9644377.551157147,23786802.97598791,26448719.42401512,2033
4083879.0522416155,5766971.126891441,8032848.260116337,21902206.652585074,24420678.970536858,2034
3178949.4981636275,4646710.565776328,6690616.291463301,20166924.459360495,22523362.35240258,2035
2474539.9552086927,3744065.856778191,5572677.170214215,18505414.608997703,20756015.95835693,2036
1926217.823857691,3016764.082492249,4641548.003374951,16992336.00369111,18948294.481316157,2037
1499396.208831453,2430744.045386714,3866010.3142764084,15601290.642755158,17204161.046292797,2038
1167152.2297138253,1958561.1004869705,3220063.0154159004,14254751.245090213,15519293.708552208,2039
908528.7688385275,1578101.8573743263,2682050.3921974855,12747358.00908657,13954908.509051368,2040
707212.5320376409,1271548.5577891886,2233935.842440455,11306528.988986326,12682693.942182725,2041
550505.035503177,1024544.6280724154,1860697.007199813,10288541.686788348,11661591.564801458,2042
428521.609636312,825522.3272057092,1549822.0014713942,9169209.837947296,10755607.174406882,2043
333567.8939254493,665161.0025573039,1290889.8454443603,7867118.879052612,9920008.35972016,2044
259654.49289731472,535950.5821255371,1075221.0219639894,6685981.511815166,9149326.891878504,2045
202119.17826953018,431839.86056069564,895586.4385905716,6004230.264730608,8438519.366721695,2046
157332.8063460509,347953.1073486671,745965.0320455196,5452755.563825032,7782934.20031133,2047
122470.4003668106,280361.72523557086,621341.8846810315,4951932.716094616,7178281.188556871,2048
95332.95805344597,225900.26511064178,459184.3571013093,4497109.433746543,6620603.431743896,2049
0.0,0.0,0.0,0.0,0.0,2050
