year,p05,p25,p50,p75,p95
2024,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0
2025,39731303.303860225,40327070.42470586,40735230.03495083,41152703.30315061,41692216.76088248
2026,31571529.264695127,32525452.180785857,33187179.32134934,33870899.79961273,34764818.76874202
2027,25087560.131792422,26233124.01380253,27037747.67951347,27877581.828395646,28988447.195206795
2028,19935229.253316067,21158100.791297305,22027777.429711297,22944757.10933718,24171852.480507966
2029,15841052.83850195,17064884.4132779,17946131.61806283,18884775.670400772,20155562.262620296
2030,12587713.539897349,13763535.910478985,14620795.996942315,15543191.440002829,16806601.415845964
2031,10002525.329558102,11100861.639101453,11911629.76748102,12792886.95161607,14014089.384897497
2032,7948267.389101329,8953304.581903312,9704459.57613739,10529237.65805399,11685569.04686308
2033,6315900.479893143,7221210.888168923,7906267.866534695,8666131.900719665,9743945.553552466
2034,5018779.181001095,5824205.600780258,6441272.807569072,7132695.1291435985,8124933.802527985
2035,3988052.782649209,4697462.988615718,5247734.59280626,5870593.756578753,6774930.025283281
2036,1.7506174021109436e-10,1.1987763518401637e-06,0.0012329158854817398,0.3482411446381766,9.110437172177079
2037,4.993000634605095e-27,2.1036537020434003e-19,2.3902640177752963e-13,2.3644052997430883e-08,1.571584603184175e-05
2038,1.4236884389719427e-43,3.691567115276625e-32,5.215444756621345e-23,1.6053924295372646e-15,2.7087679163430376e-11
2039,4.059460661367281e-60,6.478101160100126e-45,1.1965551715780862e-32,1.0900354515523432e-22,4.671095525228929e-17
2040,1.1575020201052417e-76,1.1368027597478988e-57,2.745200754549651e-42,7.40116626809943e-30,8.055003579279051e-23
2041,3.3004656692100365e-93,1.994908354717925e-70,6.2981861695397575e-52,5.025274904553046e-37,1.389033639685603e-28
2042,9.410847226272413e-110,3.500750945972015e-83,1.444963513991738e-61,3.4120832139479356e-44,2.3952738888995528e-34
2043,2.6833805544704164e-126,6.143274420670024e-96,3.3151125012826913e-71,2.3167519105121276e-51,4.130560513184015e-40
2044,7.651310996541359e-143,1.0780503659307022e-108,7.60570828438075e-81,1.5730392948146328e-58,7.123264178881712e-46
2045,2.1816721241807385e-159,1.8918148105135181e-121,1.7449422566529618e-90,1.068070055515708e-65,1.2284263611146577e-51
2046,6.2207557795086856e-176,3.319851246551434e-134,4.003339840794477e-100,7.252037369723241e-73,2.1184548764484782e-57
2047,1.773768189834269e-192,5.825846816909208e-147,9.184676413217338e-110,4.924027317607363e-80,3.6533196416728134e-63
2048,5.057671449170722e-209,1.0223507749475957e-159,2.107197608231046e-119,3.3433435106745488e-87,6.30022506144499e-69
2049,1.4421299839876426e-225,1.7940776335082195e-172,4.83444553710322e-129,2.270082670898141e-94,1.0864868331575246e-74
2050,4.1120486145971774e-242,3.1483496984030004e-185,1.1091443780505746e-138,1.5413542812784926e-101,1.873669049137866e-80
