p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
170860489.42295945,172812773.73680848,174255882.10911915,175502213.12887168,177400560.13933483,2025
157806897.70668188,161428438.70436057,164135759.88753527,166392113.74027896,169843238.62362415,2026
146459101.05805543,150973703.00606966,154603392.00259042,157761075.42089078,162327571.15562505,2027
135487122.1472275,141084024.13090542,145878837.0210225,149334940.24267924,154853101.07346788,2028
125337124.33234616,131842179.00557956,137251638.01380408,141388523.74695316,147419379.18415004,2029
115947526.56059514,123063735.5410875,129201248.59421119,133719559.18632104,140250682.77949163,2030
107445347.18015072,114862690.98049659,121330176.22508469,126284254.65764679,133545805.26423705,2031
99755103.78347282,107252451.82843117,113746355.31543009,119469192.9577449,127470604.29352362,2032
92343341.20288587,100545012.19158542,106380520.3218825,112903852.51501358,121671773.7330541,2033
85482271.01570329,93800485.27796343,99915873.28994608,105924152.065383,116136741.0455781,2034
79130976.7792511,87422268.48379204,93684283.86372623,99361161.4312793,110853505.63956012,2035
73251582.150931,80834136.01305068,87684931.37957063,94919942.71910065,105810612.85038453,2036
67809025.00752233,75327134.47156733,82256679.66475044,88526817.71318807,100997129.10520163,2037
62770848.34756183,69622393.54408088,76984781.64690964,82856014.33586022,96402618.2175688,2038
57586490.22333966,64213578.9905176,70471897.97446504,77423786.23758976,92017118.76049054,2039
53220882.39357742,59420971.87259199,66080337.87252505,72695688.32146397,87831122.46879843,2040
47932589.51778548,54448437.69776173,61637974.63788898,68573250.45392065,83835553.62404539,2041
42805711.04558699,49802089.26634904,57269238.18913227,64684588.845853746,80023455.7510731,2042
38287025.830938004,45464946.485610224,53134281.541928545,61016446.42841415,76716495.34561174,2043
32618658.44549421,40539395.14201746,49757643.3713205,57556317.92083432,73243418.1972946,2044
27026241.90145117,35814938.32635074,46595594.29580689,54292407.19759674,69927572.84512682,2045
21398986.224864595,33121427.52361577,43634496.51966736,51213587.073254116,66761841.14806408,2046
15887246.22969799,30630500.745458562,40861578.99772388,48309361.36779915,63739427.21516905,2047
10486374.541079916,27619141.451559957,38264882.34728187,45569829.12325673,60853842.816803224,2048
5191998.720992026,25114542.487147156,35833207.26141069,42985650.84950535,58098893.45627892,2049
0.0,0.0,0.0,0.0,0.0,2050
