year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,40866458.71869912,33401348.964142784,27299896.971840095,22313002.25248884,18237067.708831515,14905687.493461676,12182853.252507627,9957401.390391443,8138474.65731898,6651812.7723301025,5436720.641298873,4443590.393054795,3631876.0672116354,2968438.267442713,2426191.198309087,1982996.848987389,1620761.177369071,1324695.3949564663,1082712.1934567853,884932.2631626779,723280.9560276511,591158.6266305046,483171.1922279676,394909.9116249775,322771.39202054514,0.0
50000000.0,39757622.417508,31613370.805862684,25137449.196883183,19988104.274179425,15893590.051492065,12637827.04251766,10048999.114683777,7990486.249509396,6353654.704805682,5052124.0944977505,4017208.843108721,3194293.4471318135,2539950.255235734,2019647.6641383073,1605927.784944256,1276957.4100719744,1015375.8110576096,807378.5621579876,641989.0404453558,510479.15732409427,405908.7517779802,322759.3377830181,256642.8776660432,204070.21252778496,162266.9291268056,0.0
50000000.0,39212534.751395844,30752457.632588536,24117636.272174127,18914273.00888306,14833531.753164308,11633207.587137783,9123351.135616845,7154994.469091246,5611309.385305711,4400673.285442676,3451231.0826992057,2706630.375308802,2122676.7530195997,1664710.7188752233,1305550.5382983172,1023878.9170545262,802977.7523244428,629735.8603523992,493870.786165372,387318.50730417686,303754.80855047586,238219.9197237826,186824.13761287116,146516.95977088533,114906.0275336942,0.0
50000000.0,40625575.95761002,33008748.437750828,26819988.33846975,21791549.46853436,17705884.96335918,14386235.489513071,11688982.052465566,9497432.564791603,7716773.361264405,6269967.246714174,5094420.612662273,4139275.431194508,3363208.9687892287,2732646.0284572416,2220306.375887021,1804024.5064552801,1465790.692327778,1190971.8221823985,967678.324508885,786249.7854973706,638837.00764756,519062.42757436505,421744.20156327623,342672.0219058095,278424.9650896453,0.0
50000000.0,41098441.07349075,33781637.17342383,27767452.49476007,22823980.202337008,18760600.10816534,15420628.360975146,12675275.720194746,10418681.445533432,8563831.309054544,7039202.328369864,5786004.841937755,4755915.58094622,3909214.3250802937,3213252.2916591675,2641193.1992602674,2170978.4612700525,1784476.6072464976,1466784.133798857,1205650.8258092701,991007.3883945545,814577.1751065509,669557.0406185428,550355.0115840408,452374.66026174044,371837.8663581508,0.0
50000000.0,40065614.26813299,32105068.933656443,25726186.15895398,20614709.02469664,16518819.600665916,13236733.085703103,10606756.839640288,8499324.563458184,6810613.189983669,5457428.019986889,4373104.11889791,3504222.0556429443,2807976.183825486,2250065.8131051203,1803005.3789156557,1444770.360700073,1157712.23955681,927689.0404715906,743368.6251261834,595670.4118667603,477318.0190558707,382480.79269443743,306486.55810130143,245591.44430508924,196795.4415016275,0.0
50000000.0,42192019.78216796,35603330.66597706,30043528.63539943,25351943.09021805,21392993.68757753,18052272.257321313,15233236.563879658,12854420.368993096,10847079.16993719,9153203.57833464,7723842.928946116,6517690.673049053,5499890.676226745,4641029.924222401,3916288.5274485014,3304722.460455692,2788658.308522427,2353182.5303777056,1985710.4774549655,1675622.7149287616,1413958.134714486,1193154.9918206183,1006832.3803617595,849605.8341910124,716931.7232646506,0.0
50000000.0,40752493.10024483,33215313.87771005,27072136.992476907,22065141.51989596,17984190.550909717,14658012.02678873,11947010.67970027,9737409.405860731,7936474.192531972,6468622.195428607,5272249.627745899,4297146.331549661,3502388.5245443988,2854621.2836174467,2326658.6832886413,1896342.8387469014,1545613.9690346355,1259752.4521745206,1026761.0623051731,836861.4621438322,682083.8192375464,555932.3227453354,453112.5629376472,369309.33189501433,301005.5199981519,0.0
50000000.0,40469870.540622026,32756208.43149413,26512790.292483985,21459383.816149745,17369169.698421996,14058560.981864663,11378962.85847006,9210103.075376594,7454633.58252551,6033761.120251616,4883710.6281924285,3952862.7376161492,3199436.8651234875,2589615.9146888223,2096028.4163478226,1696519.9731812277,1373158.8736844768,1111431.2369943426,899589.565519289,728125.4651252008,589342.8662189415,477012.5899983938,386092.7552696362,312502.4764486848,252938.69531004116,0.0
50000000.0,40527171.157602794,32849032.040752634,26625566.877543204,21581178.120287865,17492481.989272375,14178416.231010519,11492222.026757933,9314944.981191833,7550167.391528291,6119738.522900369,4960313.81114717,4020549.7363956496,3258830.1462912257,2641423.342246005,2140988.317817821,1735364.0000526183,1406587.8770174936,1140100.5528019422,924101.0048056374,749023.9917734158,607116.4703150417,492094.26210114744,398863.76771694893,323296.40365662257,262045.7737125877,0.0
50000000.0,40013478.02316816,32021568.47021122,25625886.525003422,20507616.94584851,16411621.599405205,13133721.20384704,10510517.295051022,8411247.055953057,6731264.984416312,5386826.470441269,4310913.251792443,3449892.653207626,2760844.077228253,2209419.476191333,1768131.1530908318,1414981.5407255797,1132366.6556602318,906198.5658085827,725203.1279521645,580357.9884529347,464442.8323306317,371679.461289594,297443.759119483,238035.1863731191,190492.31397363075,0.0
