p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
39009922.77536086,39723496.86083759,40302515.872431524,40777111.91599552,41779075.497764155,2025
30435487.15966596,31559124.50342968,32485855.75239717,33255458.306843728,34909823.02480921,2026
24003965.72561313,25072776.37206214,26185234.405399896,27121232.83313191,29170002.69525973,2027
18795528.997393835,19972337.64536167,21115540.527444895,22118513.291018233,24373914.972609263,2028
14717240.468831375,15877925.145174207,17021987.152164064,18072462.065869924,20366392.7600146,2029
11523873.834288558,12622885.755237699,13722028.459809978,14744389.485642537,17034144.542163115,2030
9023413.909362877,10035143.882869475,11061814.59973758,12029186.840287246,14235696.732895285,2031
7065510.3662857395,7977900.335601674,8917321.751019146,9813993.12675887,11896990.928340614,2032
5532436.911513953,6342400.461109752,7188569.9125680635,8006730.883616411,9942498.560906453,2033
4332012.240860049,5042184.861672504,5794961.658884539,6532278.866700857,8309099.252026084,2034
3392057.080253149,4008518.7459869296,4671524.545887964,5329349.533155678,6944042.335970657,2035
2656053.9931895034,3186758.2903195913,3765881.981090351,4347941.54210595,5803243.274273515,2036
2079748.9642572494,2533461.9163166094,3035811.3346794387,3547261.381680093,4849859.943325081,2037
1628490.4014669254,2014093.773044771,2447275.4463032056,2894027.73194643,4053102.8162283963,2038
1275145.5442708533,1601198.0178643966,1972835.7529021804,2361088.082285807,3387240.613643321,2039
998468.9858379598,1272947.3796095995,1590373.0547911131,1926290.1010091666,2830769.31103691,2040
781825.205414167,1011989.2740406892,1282056.2798358793,1571560.8441577805,2365717.665367449,2041
612188.2943857197,804528.4716617739,1033511.1676847697,1282155.5295458385,1977066.833136967,2042
479358.7281368868,639597.8233463482,833150.1166422165,1046044.6503175172,1652265.336337495,2043
375350.0873246175,508478.49088653666,671631.9494619975,853413.9525623707,1380823.71208451,2044
293908.8516393962,404239.0331488291,541426.4113877369,696256.4928819959,1153975.7551220835,2045
230138.39103028315,321368.9818058517,436463.09657168214,568039.8192298783,964395.4130061468,2046
180204.54493514693,255487.53578817833,351848.4352033192,463434.4409476039,805960.1910797056,2047
141105.08604987207,203111.974733704,283637.54679012595,378092.3014894209,673553.4263908679,2048
110489.20660983135,161473.5487396906,228650.32298974018,308466.0457567649,560648.504551984,2049
0.0,0.0,0.0,0.0,0.0,2050
