p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
171015861.66050836,172196758.13489965,173333242.52105433,174335824.41367376,176449236.36003208,2025
158088803.34777468,160279590.4491836,162402232.41543293,164286376.9130449,168293692.3014445,2026
146138917.41513708,149187174.1215748,152160570.81579682,154816221.95988327,160515100.6074478,2027
135092336.77701816,138862430.33780473,142564784.93447238,145891966.67189753,153096038.3804958,2028
124880778.26799381,129252230.57165402,133574143.53428441,137482143.07525617,146019888.01742417,2029
115441120.52268653,120307123.19376516,125150484.03646839,129557097.14458327,139270799.98834005,2030
106715013.76674876,111981079.00137286,117258050.53178594,122088884.23916921,132833657.3358907,2031
98648519.10649802,104231254.3594626,109863342.00724742,115051170.56669065,126694041.81539576,2032
91191775.08714703,97017770.73449698,102934970.14420822,108419140.32698816,120838201.60000056,2033
84298689.45816457,90303509.48620495,96443526.08423303,102169408.20847797,115253020.47851461,2034
77926654.24015011,84053920.86144723,90361455.59718807,96279936.92864884,109925988.47694251,2035
72036282.33166859,78236846.20725417,84662942.12168613,90729959.527881,104845173.83790313,2036
66591164.027666464,72822352.48815814,79323797.18142498,85499906.14258498,99999196.29517516,2037
61557641.94419344,67782578.2562604,74321357.71226892,80571334.99945296,95377201.58350718,2038
56904602.957953215,63091590.28140676,69634389.86425637,75926867.3874993,90968837.12659773,2039
52603285.87440145,58725250.103704214,65242998.870201215,71550126.37859309,86764228.84878969,2040
48627103.635350764,54661089.82166952,61128544.59830678,67425679.08040364,82753959.05854021,2041
44951478.96693309,50878196.476827696,57273562.43033749,63538982.21813506,78929045.3541284,2042
41553692.45186436,47357104.43981458,53661689.129499316,59876330.85316412,75280920.5043519,2043
38412742.08676934,44079695.24421392,50277593.383360095,56424810.05775686,71801413.25914814,2044
35509213.45632945,41029104.35268377,47106910.72698424,53172249.37546241,68482730.04715873,2045
32825159.72165438,38189634.37560151,44136182.570050076,50107179.90660596,65317437.51924158,2046
30343990.680953503,35546674.29565999,41352799.06913743,47218793.867558315,62298445.89883087,2047
28050370.216671098,33086624.282754242,38744945.60269533,44496906.4811833,59418993.10185209,2048
25930121.495097727,30796825.712264888,36301552.62149141,41931920.06408343,56672629.59062226,2049
23970139.33239809,28665496.026621267,34012248.66167333,39514790.18401118,54053203.927810945,2050
