p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
34901659.078362554,39554257.96398823,40190230.47209421,40665678.66727315,41232681.67559279,2025
28473245.32879127,31290791.536576428,32305114.318375513,33073958.482486237,34002682.87526219,2026
23190864.97870955,24753688.83425798,25967034.86021637,26899515.715901285,28040439.46744314,2027
18791816.31994835,19968247.86775324,21015155.680641398,21877761.210585836,23123654.60544786,2028
14713606.665124444,15873861.058267856,17014127.60648699,17930599.957543284,19130158.19669486,2029
11520459.490825983,12619008.73950039,13714425.779339239,14733363.615581892,16021302.991106246,2030
9020294.885067038,10031548.064588629,11054664.673193222,12018692.813843206,14238911.892966652,2031
7062719.264140935,7974633.380872091,8910734.843259552,9804209.123257063,12812005.544855475,2032
5529978.279445771,6339478.670268666,7182596.504812201,7997751.394594852,11547788.177304609,2033
4329873.212297908,5039604.027210009,5789611.4872831525,6524139.48116756,10412929.619397502,2034
3390214.717769108,4006261.8766251537,4666780.504609877,5322045.431409353,9383397.18420079,2035
2654480.2650310253,3184801.0298767006,3761710.165672702,4341441.174938643,8441289.912257114,2036
2078414.0352970157,2531776.2779281465,3032168.199734186,3541516.4811851615,7572915.152541049,2037
1627364.7357747268,2012650.6517486842,2444112.8190337964,2888980.5412435317,6767564.785233445,2038
1274201.1800968929,1599968.825514199,1970104.2648399435,2356676.4890552657,6016706.296686534,2039
997680.2431731158,1271905.0563888873,1588024.416673589,1922451.2017740007,5313430.610824352,2040
781169.0123507768,1011108.8634803715,1280044.719234571,1568233.3432499352,4652064.692742207,2041
611644.2644005497,803787.395626975,1031794.2685403333,1279281.2811265646,4027893.2295870977,2042
478909.0810273229,638975.9558497812,831689.238597655,1043569.5777566306,3436954.490473129,2043
374979.4780126159,507958.10166065354,670392.358384863,851288.5222387735,2875887.8366150656,2044
293604.15055085765,403804.6512795573,540377.2173171683,694435.8753637413,2341817.952287557,2045
229888.44512683726,321007.2145787282,435577.06886420585,566483.8369283252,1832265.6711954228,2046
179999.93813625217,255186.8668442824,351101.74483319075,462107.3754406648,1345078.3875360053,2047
140937.9105620124,202862.5576342917,283009.4710040374,376962.61398858187,878375.1066793755,2048
110352.85171008778,161267.00630676886,228122.93660394283,307506.04925372114,435299.409770722,2049
10000.0,112926.78895954035,170992.9049061319,232124.85831490424,332690.07313322957,2050
