p05,p25,p50,p75,p95,year
179896009.3120503,185000000.0,185000000.0,185000000.0,185000000.0,2024
171176181.7893886,172665238.2366045,173433333.88953748,174349312.54208222,175463759.23644432,2025
158387127.66497037,161152897.22933418,162681843.69968516,164438954.2336308,168665206.00236487,2026
146555248.3950022,150408141.50408542,152553827.599329,155031949.51945847,161054350.22710413,2027
137472114.14923465,140379791.81560355,143056422.80599082,146163091.17307925,153791657.73840013,2028
128190370.90622224,131293916.72354722,134150360.19869207,137801593.29354474,146860985.4649364,2029
119122187.31452657,122591168.0491407,126349295.53298753,129918431.1679613,140246948.57099926,2030
110695530.99637386,114465276.83812365,118569505.21438104,123011840.54150042,133934884.40931039,2031
102865014.08089586,106878006.35326655,111268745.16833323,116045752.2649557,127910818.20657922,2032
95588460.0964921,99793654.36362971,104417519.74098775,109474159.66409713,122161430.39766274,2033
88826676.73409405,93178885.1457723,97988149.43426646,103274721.5232136,116674025.52833791,2034
82543244.6906667,87002572.62070365,91954659.07848546,97426361.89511496,108975094.21702929,2035
76704321.45496428,81235653.88844801,86292672.89059368,91909198.44225211,101000264.38919425,2036
71278458.97809556,75850992.47101942,80979315.99406157,86704474.8363673,93115693.61996385,2037
66236434.24629443,70823250.62028834,75993122.00255197,81794496.98680666,88187107.19339058,2038
61551091.84283238,66128770.0898764,71313946.29400384,76457469.73975897,83641705.92425129,2039
57197197.650629945,61745460.81004366,66150981.70219172,72083611.64499685,79330614.05712146,2040
52928137.849627875,57245165.171804726,62033106.42898599,67959967.68923344,75241751.85003656,2041
46818902.076970756,53428424.375578284,58171598.17876478,64072223.859615944,71363662.4005259,2042
42381850.84462994,49866161.90529946,54550494.36719726,60406885.01027866,67685479.52785242,2043
39223455.53344549,46541410.44318873,51154826.43265514,56613249.72622548,64196897.31165197,2044
36300847.77596737,43438333.97680204,47970557.928975016,53259342.23943675,60888141.2015369,2045
33596394.14547687,40542152.36788444,44984526.47423409,50193195.2143507,57749940.61663622,2046
31093782.222037442,37839070.95073491,42184389.31533107,47303569.41777886,54773502.95822423,2047
28777921.460364003,35316214.824727625,39344922.86377297,44580302.18200915,51950488.962553784,2048
26634851.509320106,32961567.52799486,36387171.039859466,42013815.9329463,49272989.32476999,2049
0.0,0.0,0.0,0.0,0.0,2050
