year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,40861084.79352762,33392565.01007708,27289128.607002854,22301267.95904448,18225080.02155394,14893930.802590832,12171643.388671938,9946931.051622078,8128847.86271405,6643070.835840892,5428861.614254101,4436583.495047281,3625672.287693841,2962978.055620026,2421409.951441029,1978828.7469144696,1617141.784390843,1321563.3515030157,1080010.2433156655,882607.802599996,721286.24522935,589450.7685344329,481711.95669390983,393665.4621705189,321711.9566006561,262909.9907550218
50000000.0,39755590.52946016,31610139.566922054,25133595.304032803,19984018.468805816,15889529.107580272,12633952.258137995,10045404.654865652,7987219.883231441,6350732.862930236,5049542.705212815,4014951.042989263,3192334.993218203,2538263.2564649973,2018203.0935999306,1604697.115888972,1275913.6292617533,1014493.9959177541,806636.1579260413,641365.9360152934,509957.630635359,405473.3350182601,322396.6375520114,256341.37421185095,203820.05417850928,162059.73231226404,128855.60718240587
50000000.0,39210567.73388197,30749372.44026692,24114007.016868994,18910478.109404936,14829811.65577829,11629706.68819214,9120148.036450762,7152123.646525665,5608776.573663872,4398466.274917153,3449327.195956691,2705001.55306762,2121292.932336277,1663542.0041355337,1304568.5286262822,1023057.4531038315,802293.2712116112,629167.4930656127,493400.29205611825,386930.1114316716,303434.98685140104,237957.16209532903,186608.70844202448,146340.66804196476,114762.01352961986,89997.67409559681
50000000.0,40621047.31514648,33001389.69958739,26811020.249050543,21781834.442080654,17696018.54964891,14376616.135899967,11679864.085761819,9488966.233244222,7709034.926648817,6262981.450190366,5088177.316441353,4133741.8303803857,3358338.4496096373,2728384.5012373757,2216596.7183735156,1800809.6035129803,1463015.442197419,1188584.3900058265,965630.8548894239,784498.7329085725,637343.2029630322,517790.96807096654,420664.2282673249,341756.4304047316,277650.08259452356,225568.7428425293
50000000.0,41093027.81345206,33772738.69754288,27756481.81269156,22811957.582650207,18748248.148462664,15408445.652365547,12663593.715094434,10407708.175052643,8553684.830234611,7029936.172726675,5777627.253452999,4748403.948438054,3902525.910453409,3207332.115619585,2635979.7566826716,2166407.7891411525,1780485.1106891315,1463310.4834997144,1202637.167963395,988400.0518522196,812327.0164316139,667619.5335968569,548690.1612579906,450946.8011508421,370615.38884157577,304594.1696352042
50000000.0,40063913.84042595,32102343.844261482,25722910.757044416,20611209.605903864,16515314.515957844,13233362.756297423,10603606.105748033,8496439.228370074,6808012.183916676,5455112.271220156,4371062.960480293,3502437.796795195,2806427.3224450797,2248729.248917139,1801857.8975812406,1443789.5912277172,1156877.2357330213,926980.5979271583,742769.416142004,595164.9978323347,476892.7838798391,382123.8280896549,306187.52249915345,245341.41040839156,196586.74256180765,157520.68632332515
50000000.0,42183743.92735412,35589365.034571715,30025853.223110083,25332058.071279924,21372021.01663473,18031037.235515002,15212333.149751043,12834263.322533967,10827945.549880119,9135265.646709533,7707194.1349829985,6502366.07577057,5485882.909244403,4628301.597180288,3904781.787880347,3294366.300642812,2779374.088584427,2344888.0966233737,1978323.1801252246,1669061.5687190266,1408145.3162766278,1188016.828686327,1002299.9536538272,845615.2916666392,713424.3784944074,601898.2258787969
50000000.0,40747551.62797215,33207259.273485117,27062290.23339583,22054441.369129267,17973289.76629359,14647351.05353103,11936873.865335757,9727967.682087205,7927817.30722186,6460782.900463076,5265221.695874777,4290897.857707531,3496871.639745855,2849779.153538717,2322430.463742753,1892667.1044746626,1542431.0110829175,1257005.7451337292,1024398.1299298847,834834.3137383217,680349.0859970993,554451.1901342093,451850.56990368594,368236.08850558166,300094.3805532742,244562.22529717727
50000000.0,40465770.12951925,32749571.043501835,26504732.2737341,21450688.070667483,17360372.25175302,14050016.658046437,11370894.888008468,9202640.374101523,7447838.599260504,6027650.494388724,4878270.386540342,3948059.3618276487,3195225.251868282,2585945.0110827424,2092845.1277210272,1693771.7971008685,1370795.603866929,1109405.9960126935,897859.3602992002,726651.4096500925,588090.1781438353,475950.43928392907,385194.02138214355,311743.4544902988,252298.77937573366,204189.28820353452
50000000.0,40522921.88535696,32842143.96253484,26617192.686828945,21572128.40111728,17483313.481987316,14169498.930555608,11483789.966351077,9307134.475085815,7543045.666208304,6113325.006188789,4954595.833711755,4015493.998860329,3254390.9929387346,2637548.6398253134,2137623.550009414,1732455.0427466182,1404082.8073422788,1137950.7584500778,922261.7938811046,747454.8526258634,605781.0921157771,490960.3975086776,397902.9967409588,322483.84109766636,261359.750041812,211821.2146984153
50000000.0,40011696.962335765,32018717.87611579,25622464.735633366,20503965.888605937,16407969.39321941,13130213.982575506,10507242.8584287,8408252.343222318,6728568.89479722,5384429.192176498,4308802.983050408,3448050.3845644267,2759246.941961143,2208043.049720019,1766950.9877037818,1413974.1493460718,1131510.1035242304,905472.7874406537,724590.0555743378,579841.5545112491,464008.8913054761,371315.662934882,297139.3956543861,237781.0290898978,190280.44958674686,152268.8737344384
50000000.0,40704511.16901929,33137144.590176325,26976625.44160479,21961407.031805046,17878566.756269746,14554766.404332776,11848893.033352604,9646067.97633232,7852769.633594765,6392862.985167873,5204367.255635515,4236824.501693881,3449157.405007463,2807925.322316638,2285904.5528801945,1860932.548080478,1514966.9937626666,1233319.8183661613,1004033.6064331654,817373.9429425896,665416.1357954395,541708.7706306229,440999.81408979784,359013.63716307207,292269.4920746901,237933.7360903563
50000000.0,39914549.68545922,31863425.531859864,25436285.630807005,20305557.732487574,16209743.86008672,12940092.53383998,10329959.327527916,8246313.496547719,6582957.795596539,5255115.920192382,4195111.709987333,3348919.8956868234,2673412.5913802935,2134161.19416762,1703681.6604276497,1360033.7256669016,1085702.674340635,866706.6667721048,691884.1262718785,552324.8666931887,440915.9666827987,351979.245185457,280981.86140410707,224305.28935454093,179060.8923330626,142942.69767501391
50000000.0,38107063.133846566,29042965.213739358,22134842.17988151,16869876.56812949,12857229.028838186,9799024.766565232,7468241.108592547,5691854.708478489,4337997.334493432,3306166.7659999863,2519766.1136597362,1920417.727515176,1463629.5917155787,1115492.5051214327,850162.866359902,647944.2004485748,493825.01107407134,376364.4174814425,286842.8523659742,218614.77369205613,166615.33966149535,126984.42535095781,96780.07027728349,73760.08496309104,56215.60428892792,42844.231634910226
50000000.0,39526667.36258867,31247148.655854646,24701913.018986527,19527685.982421577,15437286.963765265,12203690.135951523,9647424.011997204,7626610.396561285,6029089.8449787665,4766196.57603274,3767837.332911104,2978601.0586864096,2354683.465051044,1861455.8013452052,1471542.885398657,1163303.7228187334,919630.3858703425,726998.4871765217,574716.5475146312,454332.5960277243,359165.0679033847,283931.9633455732,224457.68537534383,177441.28533615603,140273.25323744843,110890.68441169578
