p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
39148873.90612515,39747737.84084835,40303052.128105804,40787333.487067044,41778648.70995977,2025
30652706.302446235,31597656.969179265,32486720.37911194,33272131.695117053,34909110.03749602,2026
24000409.5391954,25118713.59323703,26186279.959851332,27141631.009579852,29169109.363488834,2027
18791816.31994835,19968247.86775324,21107740.44160843,22140695.57741954,24372920.045767553,2028
14713606.665124444,15873861.058267856,17014127.60648699,18061199.194269937,20365353.939052124,2029
11520459.490825983,12619008.73950039,13714425.779339239,14733363.615581892,17016740.036835223,2030
9020294.885067038,10031548.064588629,11054664.673193222,12018692.813843206,14218728.761054715,2031
7062719.264140935,7974633.380872091,8910734.843259552,9804209.123257063,11880786.140585165,2032
5529978.279445771,6339478.670268666,7182596.504812201,7997751.394594852,9927264.44205206,2033
4329873.212297908,5039604.027210009,5789611.4872831525,6524139.48116756,8294954.468523206,2034
3390214.717769108,4006261.8766251537,4666780.504609877,5322045.431409353,6931040.326776613,2035
2654480.2650310253,3184801.0298767006,3761710.165672702,4341441.174938643,5791390.486366009,2036
2078414.0352970157,2531776.2779281465,3032168.199734186,3541516.4811851615,4839129.834969626,2037
1627364.7357747268,2012650.6517486842,2444112.8190337964,2888980.5412435317,4043446.5265954062,2038
1274201.1800968929,1599968.825514199,1970104.2648399435,2356676.4890552657,3378595.016316743,2039
997680.2431731158,1271905.0563888873,1588024.416673589,1922451.2017740007,2823063.023143133,2040
781169.0123507768,1011108.8634803715,1280044.719234571,1568233.3432499352,2358875.4667878826,2041
611644.2644005497,803787.395626975,1031794.2685403333,1279281.2811265646,1971012.8561046792,2042
478909.0810273229,638975.9558497812,831689.238597655,1043569.5777566306,1646925.3102315355,2043
374979.4780126159,507958.10166065354,670392.358384863,851288.5222387735,1376126.4878293988,2044
293604.15055085765,403804.6512795573,540377.2173171683,694435.8753637413,1149854.2853563395,2045
229888.44512683726,321007.2145787282,435577.06886420585,566483.8369283252,960787.3257365484,2046
179999.93813625217,255186.8668442824,351101.74483319075,462107.3754406648,802808.0639701001,2047
140937.9105620124,202862.5576342917,283009.4710040374,376962.61398858187,670804.8445943871,2048
110352.85171008778,161267.00630676886,228122.93660394283,307506.04925372114,560506.5062568847,2049
86405.13450923354,128200.34728302626,183881.03507688863,250847.08002661832,468344.18177204847,2050
