p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
45638616.15993926,45798486.995332085,45937225.65122154,46061344.16170597,46213483.32164556,2025
41657666.883621,41950028.64483387,42204574.06019837,42432948.921775125,42713729.575637884,2026
38023967.54140267,38424957.6029426,38775220.93343113,39090374.022471786,39479020.78173561,2027
34707228.148801364,35196099.48782133,35624521.59943348,36011104.448832065,36489283.82049379,2028
31679800.870180488,32238563.395965233,32729833.90237754,33174398.77050251,33725965.8521606,2029
28916449.547445726,29529550.02002527,30070355.486613393,30561149.430242267,31171919.17158659,2030
26394139.332523905,27048175.890635815,27626974.30272383,28153754.038005758,28811294.784422927,2031
24091844.669986457,24775312.38733236,25382131.260791235,25935996.803655203,26629444.044022754,2032
21990374.02914797,22693438.27750016,23319694.04384812,23892939.30964547,24612827.73849681,2033
20072209.924596146,20786504.646582127,21424841.174684316,22010819.88793703,22748932.06362124,2034
18321362.891555484,19039811.17829819,19683955.502868637,20276960.923350222,21026190.96003917,2035
16723238.198816108,17439892.831125382,18084526.346540317,18679683.458965704,19433914.332703345,2036
15264514.188140718,15974416.037432458,16615059.585722037,17208228.528362177,17962221.707020786,2037
13933031.22598221,14632083.625072818,15264995.061049284,15852684.684793659,16601980.909907643,2038
12717690.34180974,13402547.728480622,14024630.684310477,14603921.239150671,15344751.395153956,2039
11608360.708089255,12276330.01790593,12885052.715425834,13453526.757003644,14182731.861326467,2040
10595795.190669551,11244748.63184002,11838071.704807788,12393752.400451424,13108711.837082623,2041
9671553.265600218,10299851.24935668,10876163.640759112,11417459.733131982,12116026.93339546,2042
8827930.659815047,9434353.786427703,9992415.878970679,10518072.636815893,11198517.48495041,2043
8057895.1291650925,8641584.243625902,9180477.465546679,9689533.015698269,10350490.324012037,2044
7355027.83844683,7915431.2723407,8434513.496558823,8926259.99001856,9566683.449502584,2045
6713469.8547694925,7250297.063006308,7749163.186139224,8223112.304141219,8842233.37200488,2046
6127873.308230661,6641054.192160672,7119501.341772582,7575353.695882665,8172644.932011928,2047
5593356.8127761325,6083006.095671812,6541002.969933861,6978620.993816555,7553763.404096945,2048
5105464.775633114,5571850.863422221,6009510.757713559,6428894.727664749,6981748.713866362,2049
0.0,0.0,0.0,0.0,0.0,2050
