p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
184998150.00924996,185000000.0,185000000.0,185000000.0,185000000.0,2025
184996300.03699976,185000000.0,185000000.0,185000000.0,185000000.0,2026
184994450.08324918,185000000.0,185000000.0,185000000.0,185000000.0,2027
184992600.14799803,185000000.0,185000000.0,185000000.0,185000000.0,2028
184990750.23124614,185000000.0,185000000.0,185000000.0,185000000.0,2029
184988900.33299333,185000000.0,185000000.0,185000000.0,185000000.0,2030
184987050.4532394,185000000.0,185000000.0,185000000.0,185000000.0,2031
184985200.5919842,185000000.0,185000000.0,185000000.0,185000000.0,2032
184983350.74922752,185000000.0,185000000.0,185000000.0,185000000.0,2033
184981500.92496917,185000000.0,185000000.0,185000000.0,185000000.0,2034
184979651.11920896,185000000.0,185000000.0,185000000.0,185000000.0,2035
184977801.33194673,185000000.0,185000000.0,185000000.0,185000000.0,2036
184975951.56318226,185000000.0,185000000.0,185000000.0,185000000.0,2037
184974101.8129154,185000000.0,185000000.0,185000000.0,185000000.0,2038
184972252.08114594,185000000.0,185000000.0,185000000.0,185000000.0,2039
184970402.3678737,185000000.0,185000000.0,185000000.0,185000000.0,2040
184968552.6730985,185000000.0,185000000.0,185000000.0,185000000.0,2041
184966702.99682018,185000000.0,185000000.0,185000000.0,185000000.0,2042
184964853.33903852,185000000.0,185000000.0,185000000.0,185000000.0,2043
184963003.69975334,185000000.0,185000000.0,185000000.0,185000000.0,2044
180610126.4600143,185000000.0,185000000.0,185000000.0,185000000.0,2045
145399470.5322474,155709039.00050023,164889874.3242215,172178713.40014476,185000000.0,2046
109049602.8991856,116781779.2503752,123667405.74316615,129245167.10253909,169453478.5200382,2047
72699735.26612365,77854519.50025004,82444937.16211069,86163444.73502597,168808817.69455034,2048
36349867.633061826,38927259.75012502,41222468.58105534,43081722.367512986,168166678.10048023,2049
10000.0,10000.0,10000.0,10000.0,167527049.79756835,2050
