year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,46418752.383796506,43123335.36413379,40071476.05636051,37229637.2070208,34570764.59013293,32072716.71896028,29717142.96786514,27488664.71363457,25374266.294956326,23362834.408298455,21444804.53794086,19611885.894212145,17856844.827645306,16173332.407678204,14555745.78119655,12999115.667902395,11499014.293912286,10051479.463843683,8652951.49132551,7300220.460218199,5990381.8502004435,4720798.983638625,3489071.0728898877,2293005.894743877,1130596.310505022,0.0
50000000.0,46652092.35059283,43530978.285820626,40607870.74723537,37859138.052041866,35265141.92189179,32809385.49332287,30477877.082826745,28258647.290850587,26141377.12921074,24117107.883090876,22178012.054799672,20317210.57956599,18528625.53062495,16806860.353058707,15147101.674213264,13545038.187887881,11996793.169045571,10498867.95964805,9048094.35254384,7641594.243428091,6276745.258947803,4951151.329253994,3662617.375297178,2409127.4391859984,1188825.710465724,0.0
50000000.0,46461123.89007168,43196901.8278838,40167755.04590065,37342087.974180736,34694275.84557344,32203248.98498582,29851473.31248259,27624201.01869746,25508909.803345557,23494876.45403704,21572847.904532418,19734784.197064333,17973655.274945766,16283278.619439768,14658188.258905973,13093528.145857358,11584964.656770974,10128614.241186496,8720983.17771333,7358917.084363187,6039558.347275359,4760310.0228167325,3518805.066629016,2312879.973289489,1140552.0890355348,0.0
50000000.0,46772909.0326757,43744464.464990586,40891622.241758496,38195129.27609242,35638734.96618774,33208597.614895634,30892830.652522612,28681150.92140316,26564602.657584634,24535338.42369626,22586443.449104298,20711793.4484062,18905938.541960455,17164007.731273722,15481629.71050836,13854866.772225838,12280159.292086635,10754278.823472003,9274288.247733288,7837507.743586475,6441485.584817786,5083972.966875655,3762902.213207753,2476367.831040188,1222609.980902689,0.0
50000000.0,46520500.76831847,43300333.512569845,40303508.372762434,37501043.76971081,34869257.16691783,32388547.100364927,30042506.207891364,27817262.856032025,25700984.1172991,23683494.855437163,21755981.81798594,19910760.940598704,18141092.32092801,16441031.603273887,14805309.500394326,13229233.292417431,11708605.660951827,10239657.321549356,8818990.731941178,7443532.760295523,6110494.654754434,4817338.003068233,3561745.63789044,2341596.6497705774,1154944.8309855326,0.0
50000000.0,46293066.75473998,42906302.10000207,39788770.23143587,36900799.891534686,34210889.6409572,31693607.941126622,29328127.377889346,27097176.256529786,24986272.60692906,22983153.95899772,21077345.755843464,19259829.825308,17522786.302239373,15859390.299503533,14263649.955853492,12730276.150487436,11254576.732897077,9832369.932654822,8459912.921181533,7133842.451143891,5851125.203141311,4609015.994928955,3405022.404899671,2236874.6635342273,1102499.8986280677,0.0
50000000.0,47279016.13003283,44656813.52174294,42126470.50977474,39681768.378321946,37317099.28297955,35027388.77220941,32808030.21574845,30654829.009442285,28563954.85788944,26531900.770927697,24555447.671353236,22631633.71690664,20757727.602507364,18931205.23868789,17149729.306495775,15411131.273354605,13713395.5227561,12054645.306469858,10433130.273746217,8847215.36973017,7295370.926559352,5776163.796613637,4288249.399093718,2830364.5693094903,1401321.1153812155,0.0
50000000.0,46674602.65769294,43570629.08357461,40660423.868721865,37921209.626939714,35334003.203962125,32882817.106791917,30554060.56601197,28336083.185007676,26218822.286610745,24193526.906083107,22252539.27027442,20389119.967962854,18597306.730442088,16871799.35488034,15207865.169689205,13601260.79288757,12048166.925736165,10545133.65940557,9089034.324072614,7677026.327758102,6306517.751816021,4975138.716543049,3680716.722153454,2421255.3206841457,1194915.5930737588,0.0
50000000.0,46859859.42844313,43899133.91905909,41098424.73363073,38441318.575594366,35913804.76008831,33503828.017830938,31200940.73442204,28996029.2191712,26881095.862359494,24849084.023396473,22893735.970182467,21009476.655348815,19191317.887917686,17434778.75072531,15735819.066736156,14090783.428063331,12496353.837180663,10949509.417509068,9447491.96368317,7987776.344340414,6568044.959636643,5186165.604644166,3840172.2077831877,2528248.007526468,1248710.8061194185,0.0
50000000.0,46618575.69452505,43472046.694988534,40529887.38941706,37767161.23913537,35163234.470909156,32700839.77152829,30365381.577018622,28144411.806997947,26027228.200897943,24004562.382683475,22068334.62573122,20211458.9027319,18427686.333484884,16711478.297961047,15057902.714655729,13462548.587461514,11921455.090920852,10431052.323126044,8988111.495844765,7589702.81356412,6233159.659722404,4916047.989679634,3636140.0476647154,2391391.6947584767,1179922.7684542502,0.0
50000000.0,46405511.38302545,43100387.39540381,40041490.17209374,37194662.63729123,34532396.53912813,32032211.465359516,29675499.602213822,27446684.344157413,25332595.687473275,23321998.654430896,21405231.850345798,19573926.66115693,17820786.420836616,16139410.807133997,14524154.785920901,12970014.255439544,11472532.546314662,10027723.373189017,8632006.882085962,7282156.210059671,5975252.5494001955,4708647.142257827,3479928.961325707,2286897.0853270222,1127536.9739806084,0.0
50000000.0,46333139.36944681,42975307.12165608,39878440.27156681,37004884.09411857,34324588.12668865,31813187.130262576,29450651.659228656,27220316.674019407,25108167.821236182,23102307.47907974,21192548.830776658,19370102.808365226,17627333.521655735,15957564.945044257,14354926.487829061,12814228.424515972,11330860.51394902,9900708.812701942,8520086.899850816,7185678.61720667,5894490.086057091,4643809.253437676,3431171.5931308162,2254330.870821014,1111234.1018310934,0.0
50000000.0,45836229.36814103,42132217.0865623,38796452.34038478,35762289.84461997,32979684.63852131,30410099.086560704,28023224.673243187,25794793.9513555,23705074.611206688,21737805.399341807,19879426.90280998,18118514.275073517,16445351.446122192,14851606.475962542,13330080.52332153,11874511.264455767,10479417.176739065,9139972.898796367,7851908.509576161,6611427.421174793,5415138.9042240875,4260002.223986142,3143280.0692093475,2062499.478336527,1015418.8597588266,0.0
50000000.0,45819757.61676105,42104734.7155452,38761674.88292564,35722825.58891318,32937410.445090752,30366392.388195053,27979112.397340998,25751051.293534443,23662292.394031037,21696437.118407607,19839822.274288878,18080943.596016098,16410023.56891349,14818682.260548366,13299683.0331995,11846733.582720952,10454328.459057294,9117623.104246164,7832332.128953201,6594646.437357076,5401165.158817711,4248839.321022197,3134924.9150205594,2056943.5334442777,1012649.1612702293,0.0
50000000.0,46608808.180258244,43454896.620390795,40507220.867387846,37740456.70532831,35133675.76430944,32669383.53839294,30332806.95803856,28111357.647577472,25994221.313403953,23972039.286014624,22036658.45984475,20180932.726156227,18398563.676403433,16683971.609813457,15032190.18000031,13438779.66540818,11899755.047450867,10411525.962440848,8970846.249968579,7574771.31422798,6220621.889902778,4905953.091802462,3628527.849801394,2386294.003966849,1177364.470899661,0.0
50000000.0,46172316.059459105,42699452.913563624,39521172.41699678,36591383.35131411,33874031.368046865,31340380.98939349,28967159.604878712,26735254.88861509,24628778.711032856,22634380.369572017,20740733.46760713,18938146.280215446,17218261.576722976,15573822.332055103,13998486.699226897,12486680.313855363,11033477.241459683,9634503.150008239,8285855.907481865,6984039.971863909,5725911.794880545,4508634.092756836,3329637.3101000367,2186586.9604612566,1077355.7999106066,0.0
50000000.0,46051303.313011594,42493779.17723372,39256863.558352165,36287516.36099369,33544859.905097023,30996722.976616576,28617331.388327997,26385716.88864405,24284591.92099781,22299535.57496382,20418392.845497657,18630823.454578314,16927957.664007086,15302130.007118082,13746670.685512103,12255740.264875391,10824197.313455425,9447491.406251151,8121575.876315662,6842836.094987415,5608030.078048332,4414238.960020894,3258825.4322359124,2139398.655735281,1053784.4750559411,0.0
50000000.0,46193394.659421295,42735444.179796726,39567605.221968584,36644944.349053524,33932221.120844,31401286.195815682,29029297.834102497,26797466.09617001,24690147.799666874,22694180.86421071,20798385.8636477,18993186.78618635,17270318.34700976,15622597.1802875,14043740.877878135,12528223.348734263,11071158.087671967,9668203.13055854,8315483.033921794,7009524.34589045,5747201.862282097,4525693.57451727,3342442.6752376333,2195125.335073211,1081623.2295703609,0.0
50000000.0,45868725.50225827,42186522.01382751,38865262.60408593,35840459.409783274,33063498.66796564,30496823.48777539,28110815.7850373,25881705.32624132,23790124.85370644,21820085.613515306,19958234.538459163,18193304.98777259,16515703.507423151,14917194.089922503,13390653.568365179,11929879.739735754,10529439.139295671,9184545.022450408,7890958.634638778,6644908.631153568,5443024.7845945135,4282283.043780006,3159959.6886561774,2073592.8318628082,1020949.8979605491,0.0
50000000.0,46637325.45826077,43504998.31250636,40573473.47258304,37818549.207604036,35220151.5866494,32761446.05637762,30428175.88130459,28208161.295104235,26090914.67637522,24067340.918750256,22129501.31883826,20270425.479073267,18483959.964994375,16764645.421881486,15107615.960849725,13508516.140397064,11963431.975321775,10468833.22154507,9021524.795141356,7618605.643934573,6257433.740487689,4935596.134713877,3650883.2131763147,2401266.4753177757,1184879.2653063878,0.0
50000000.0,46209491.26761515,42762962.05955626,39603142.87270147,36685973.85667957,33976830.729368016,31448009.150178835,29076995.326592613,26845245.247505,24737302.96369938,22740150.83980363,20842722.188992724,19035529.901427202,17310379.438235663,15660144.18844371,14078587.602975229,12560220.883167872,11100188.02205297,9694172.122488149,8338318.434771718,7029170.656075861,5763617.840550761,4538849.867384292,3352319.862965647,2201712.3133809324,1084915.8635537592,0.0
50000000.0,46755367.2167834,43713364.82365154,40850164.7080092,38145909.435023405,35583876.25770197,33149850.181508917,30831646.326898187,28618740.857995063,26501982.148343373,24473362.12056403,22525833.316244103,20653161.142038435,18849803.47472569,17110811.762559574,15431749.175526422,13808622.394912917,12237824.402522374,10716086.20730773,9240435.884624043,7808163.637806842,6416791.849826498,5064049.293468226,3747848.825794098,2466268.016832651,1217532.2611587658,0.0
50000000.0,46515151.48419291,43290999.02720927,40291238.24755163,37486657.181833096,34853401.26487897,32371738.418176442,30025160.651654016,27799717.803128466,25683514.9600505,23666327.560329165,21739302.580617998,19894723.692579042,18125824.626902036,16426639.336845472,14791880.583596794,13216840.709769728,11697309.906351112,10229508.397924047,8810029.795432778,7435793.479828267,6104004.342168084,4812118.557113565,3557814.3363171997,2338966.816752697,1153626.401708613,0.0
50000000.0,46075207.93074436,42534279.18737625,39308770.925216086,36347056.36119825,33609230.54411984,31063810.09410154,28685518.43029793,26453754.371155545,24351505.720484495,22364561.16291929,20480927.27239534,18690389.731228158,16984177.963363823,15354705.245878702,13795364.78904405,12300367.916439837,10864614.327339511,9483587.09886391,8153266.974092483,6870061.835409208,5630748.244887634,4432422.655884466,3272460.4372373843,2148481.2552772015,1058319.6654216808,0.0
50000000.0,46931421.12339143,44027074.781124964,41270270.780385636,38646740.59277168,36144190.39331366,33751952.68539567,31460711.51631783,29262283.382903896,27149440.80919739,25115768.995775994,23155548.369329408,21263657.61227748,19435493.031081725,17666901.067143083,15954121.460617898,14293739.110921117,12682643.08436996,11117991.532262322,9597181.52536082,8117823.000487767,6677716.164378528,5274831.818466958,3907294.162903496,2573365.7141186916,1271434.0316680507,0.0
50000000.0,45989736.727972426,42389760.96686773,39123857.59393553,36135254.90787849,33380526.191451605,30825709.36056709,28443741.90777832,26212709.937694177,24114619.665040642,22134514.790110398,20259829.099214964,18479902.85505433,16785615.636875413,15169103.522463694,13623538.380219074,12142953.589584881,10722104.94142914,9356358.526359493,8041599.561584645,6774157.632103406,5550744.922949052,4368404.824239086,3224468.8864623783,2116520.549095069,1042364.402486462,0.0
50000000.0,46243458.857203655,42821125.82712799,39678361.97768863,36772920.908255704,34071463.11106246,31547215.731742807,29178353.78846519,26946851.38303245,24837648.10475321,22838032.228221465,20937176.379091688,19125782.564043358,17395807.040399164,15740244.400871644,14152956.208971113,12628533.590078644,11162186.011094399,9749650.478445392,8387116.815112472,7071165.716535321,5798717.049414087,4566986.425822412,3373448.5123530724,2215805.8584515695,1091962.2767034175,0.0
50000000.0,46399530.58190706,43090028.52914976,40027961.644256085,37178890.84701228,34515101.6730292,32013960.009791054,29656741.569234602,27427780.194139928,25313836.145955894,23303619.52818985,21387425.260057125,19556849.664478816,17804567.707237557,16124155.94901202,14509950.395770337,12956931.30497046,11460629.037097376,10017046.5008659,8622594.801702183,7274039.484743328,5968455.345830465,4703188.222273685,3475822.508369525,2284153.396282701,1126163.0407059963,0.0
50000000.0,46029950.96221303,42457656.59740943,39210623.777583085,36234533.146562785,33487630.057201616,30937125.292265743,28556798.90802507,26325354.698018726,24225259.669782862,22241906.496668994,20362996.74707409,18578078.53848026,16878194.42336029,15255609.39957879,13703598.115336275,12216276.45196463,10788466.82196713,9415589.393840495,8093573.476682625,6818784.7408159645,5587964.9953188,4398182.009159518,3246787.4306195355,2131381.2855573213,1049781.8576076734,0.0
50000000.0,46268492.29386246,42864073.665423565,39733994.31801633,36837318.221127644,34141639.13424148,31620863.950031918,29253672.378386565,27022419.513968427,24912336.75203156,22910938.720535006,21007575.604787048,19193090.084226944,17459550.851743806,15800043.074556364,14208501.792385714,12679578.10918766,11208530.724929277,9791137.258393828,8423621.179878794,7102591.168239247,5824990.440277405,4588054.147111309,3389273.3438045275,2226364.3515829435,1097242.5722050595,0.0
